PID,trial,response,rt,accuracy,display,filename,target_size,colour,quadrant,num_distractors,answer,distractor_bin
54,128.0,4,645.3000000715256,1,Task,image_129.jpg,large,blue,Quadrant 4,34.0,4.0,33-36
54,129.0,1,1279.2999999999884,0,Task,image_45.jpg,small,green,Quadrant 4,46.0,4.0,45-49
54,130.0,1,629.8000000476604,1,Task,image_90.jpg,medium,blue,Quadrant 1,42.0,1.0,41-44
54,131.0,2,745.1000000953791,0,Task,image_23.jpg,small,red,Quadrant 1,23.0,1.0,21–24
54,132.0,3,742.7000000476837,1,Task,image_143.jpg,large,green,Quadrant 3,45.0,3.0,45-49
54,133.0,2,762.0000000476721,1,Task,image_131.jpg,large,green,Quadrant 2,33.0,2.0,33-36
54,134.0,1,1012.2000000476836,1,Task,image_3.jpg,small,red,Quadrant 1,3.0,1.0,1–4
54,135.0,4,564.1000000238419,1,Task,image_100.jpg,large,red,Quadrant 4,6.0,4.0,5–8
54,136.0,3,1014.4000000476954,1,Task,image_13.jpg,small,blue,Quadrant 3,13.0,3.0,13–16
54,137.0,1,609.9000000238302,1,Task,image_133.jpg,large,blue,Quadrant 1,39.0,1.0,37-40
54,138.0,3,582.1000000238419,1,Task,image_136.jpg,large,blue,Quadrant 3,41.0,3.0,41-44
54,139.0,3,678.8000000476604,1,Task,image_88.jpg,medium,blue,Quadrant 3,41.0,3.0,41-44
54,140.0,3,607.9000000953674,1,Task,image_109.jpg,large,green,Quadrant 3,13.0,3.0,13–16
54,141.0,3,849.2999999999302,0,Task,image_57.jpg,medium,green,Quadrant 1,9.0,1.0,9–12
54,142.0,1,816.3000000953907,1,Task,image_9.jpg,small,blue,Quadrant 1,9.0,1.0,9–12
54,143.0,3,700.9000000476954,1,Task,image_61.jpg,medium,red,Quadrant 3,13.0,3.0,13–16
54,144.0,1,574.6000000953791,1,Task,image_71.jpg,medium,blue,Quadrant 1,23.0,1.0,21–24
66,1.0,2,1223.1000001907378,1,Task,image_64.jpg,medium,blue,Quadrant 2,20.0,2.0,17–20
66,2.0,3,926.6000001907378,1,Task,image_115.jpg,large,green,Quadrant 3,19.0,3.0,17–20
66,3.0,4,745.000000190732,1,Task,image_110.jpg,large,blue,Quadrant 4,15.0,4.0,13–16
66,4.0,1,1619.799999809271,1,Task,image_9.jpg,small,blue,Quadrant 1,9.0,1.0,9–12
66,5.0,1,748.999999809268,1,Task,image_99.jpg,large,blue,Quadrant 1,3.0,1.0,1–4
66,6.0,1,822.8999999999942,1,Task,image_142.jpg,large,blue,Quadrant 1,47.0,1.0,45-49
66,7.0,4,733.1000000000058,1,Task,image_116.jpg,large,red,Quadrant 4,21.0,4.0,21–24
66,8.0,3,1477.0000000953733,0,Task,image_41.jpg,small,blue,Quadrant 4,43.0,4.0,41-44
66,9.0,4,813.8000001907349,1,Task,image_50.jpg,medium,red,Quadrant 4,2.0,4.0,1–4
66,10.0,4,766.7000000000116,1,Task,image_56.jpg,medium,blue,Quadrant 4,12.0,4.0,9–12
66,11.0,2,856.299999809271,1,Task,image_15.jpg,small,blue,Quadrant 2,16.0,2.0,13–16
66,12.0,2,1304.199999999997,0,Task,image_45.jpg,small,green,Quadrant 4,46.0,4.0,45-49
66,13.0,3,1142.9999999046267,1,Task,image_10.jpg,small,green,Quadrant 3,11.0,3.0,9–12
66,14.0,1,748.6000001907378,1,Task,image_125.jpg,large,red,Quadrant 1,32.0,1.0,29-32
