PID,trial,response,rt,accuracy,display,filename,gradient_type,inversion_type,light_direction,quadrant,num_distractors,answer,distractor_bin
92,51.0,2,1037.7999999761814,1,Task,image_100.jpg,horizontal,inverted,right,Quadrant 2,6.0,2.0,5–8
92,52.0,2,714.7999999523163,0,Task,image_121.jpg,horizontal,inverted,right,Quadrant 4,26.0,4.0,25-32
92,53.0,4,879.8999999284861,0,Task,image_54.jpg,vertical,inverted,bottom,Quadrant 1,24.0,1.0,21–24
92,54.0,4,866.8000000000466,0,Task,image_40.jpg,vertical,inverted,bottom,Quadrant 2,12.0,2.0,9–12
92,55.0,1,2101.7000000238186,0,Task,image_70.jpg,horizontal,original,left,Quadrant 4,7.0,4.0,5–8
92,56.0,3,931.2999999999884,0,Task,image_105.jpg,horizontal,inverted,right,Quadrant 4,10.0,4.0,9–12
92,57.0,3,1140.6999999523396,0,Task,image_81.jpg,horizontal,original,left,Quadrant 2,20.0,2.0,17–20
92,58.0,1,856.4000000000233,0,Task,image_12.jpg,vertical,original,top,Quadrant 3,15.0,3.0,13–16
92,59.0,2,896.9999999761349,0,Task,image_127.jpg,horizontal,inverted,right,Quadrant 1,34.0,1.0,33-49
92,60.0,4,758.8000000238535,0,Task,image_28.jpg,vertical,original,top,Quadrant 2,36.0,2.0,33-49
92,61.0,1,873.5,0,Task,image_37.jpg,vertical,inverted,bottom,Quadrant 3,5.0,3.0,5–8
92,62.0,4,834.1000000238419,0,Task,image_92.jpg,horizontal,original,left,Quadrant 2,36.0,2.0,33-49
92,63.0,2,540.7999999523163,1,Task,image_55.jpg,vertical,inverted,bottom,Quadrant 2,21.0,2.0,21–24
92,64.0,2,810.6999999761465,0,Task,image_107.jpg,horizontal,inverted,right,Quadrant 3,9.0,3.0,9–12
92,65.0,2,947.5999999761698,0,Task,image_66.jpg,horizontal,original,left,Quadrant 4,3.0,4.0,1–4
92,66.0,2,774.8999999284861,1,Task,image_23.jpg,vertical,original,top,Quadrant 2,21.0,2.0,21–24
92,67.0,4,1072.7999999999884,0,Task,image_106.jpg,horizontal,inverted,right,Quadrant 1,11.0,1.0,9–12
92,68.0,2,849.6000000238419,0,Task,image_95.jpg,horizontal,original,left,Quadrant 1,34.0,1.0,33-49
